"X","Y","Z","GpsTime"
587585.720,5404730.717,2416.590,124645842.249
587704.573,5404655.727,2529.440,124645842.438
587321.002,5404835.653,2408.540,124645843.784
587572.669,5404520.182,2650.170,124645847.111
587308.802,5404671.041,2532.030,124645847.579
587205.018,5404680.661,2605.290,124645849.114
587242.567,5404593.680,2608.050,124645850.755
587217.672,5404288.107,2804.570,124645857.097
587113.767,5404268.562,2884.600,124645858.934
587087.680,5404138.663,2880.510,124645861.470
587035.389,5404154.157,2791.730,124645861.491
587022.518,5404075.247,2822.980,124645863.168
586928.047,5403882.029,2926.910,124645869.314
586783.169,5403901.301,2823.510,124645870.861
586810.907,5403877.308,2896.820,124645871.252
586659.487,5403929.513,2785.240,124645872.086
586619.419,5403968.912,2827.840,124645872.088
586667.563,5403869.630,2880.760,124645873.642
586537.542,5403914.627,2821.960,124645874.448
586672.843,5403751.661,2959.550,124645876.100
586580.442,5403815.472,3154.180,124645876.848
586390.790,5403881.532,2808.750,124645877.015
586652.441,5403711.133,3055.050,124645877.464
586686.070,5403679.273,3025.020,124645877.509
586520.153,5403762.487,2961.080,124645877.936
586373.713,5403754.183,2819.450,124645879.391
586554.132,5403609.420,3084.690,124645880.536
586396.981,5403499.783,2953.420,124645883.928
586433.682,5403471.232,3074.610,124645884.432
586120.822,5403551.331,2972.580,124645886.690
586308.471,5403342.138,3071.400,124645888.464
586151.440,5403360.728,2942.310,124645889.644
586206.771,5403305.463,3025.530,124645890.277
586002.278,5403385.860,2813.060,124645890.582
586028.759,5403357.241,2892.470,124645891.094
585934.173,5403355.853,2844.460,124645892.128
586146.252,5403089.718,2962.710,124645894.698
586027.158,5402959.420,2931.030,124645899.392
585917.689,5402950.459,2861.190,124645901.417
585891.441,5402959.501,2818.470,124645901.555
585760.763,5402826.797,2763.460,124645905.885
585772.142,5402692.549,2728.140,124645907.727
585514.331,5402573.723,2638.180,124645912.219
585252.100,5402562.811,2726.910,124645915.899
585519.980,5402302.099,2504.950,124645916.318
585254.303,5402425.987,2527.470,124645917.459
585141.457,5402476.860,2642.400,124645919.083
584994.332,5402467.027,2630.590,124645921.259
585128.069,5402315.262,2465.230,124645921.897
585016.283,5402331.068,2442.070,124645922.825
584896.057,5402352.737,2438.540,124645924.080
585039.538,5402218.817,2463.360,124645924.463
585002.512,5402165.339,2311.370,124645925.664
585130.173,5402033.651,2323.610,124645926.187
584870.780,5402170.977,2270.870,124645927.848
585008.988,5402028.887,2291.490,124645928.710
584755.958,5402190.481,2254.890,124645929.568
584611.988,5402297.740,2280.710,124645929.640
584889.351,5401797.498,2235.040,124646039.106
584713.720,5402143.022,2197.500,124646040.143
584889.081,5401899.289,2237.070,124646041.808
584907.832,5402011.670,2235.090,124646042.921
584936.980,5402060.177,2234.900,124646043.524
585127.599,5402160.828,2350.480,124646051.651
584948.087,5402507.290,2589.970,124646052.733
585140.723,5402276.838,2406.340,124646053.188
585123.209,5402687.348,2779.070,124646057.247
585280.872,5402504.708,2609.820,124646057.538
585369.759,5402509.710,2594.150,124646058.585
585230.601,5402876.439,2627.240,124646059.684
585392.409,5402680.318,2755.180,124646060.080
585240.858,5402952.839,2597.440,124646060.297
585509.517,5402819.681,2728.180,124646062.419
585618.863,5403215.689,2610.960,124646067.870
585768.398,5403081.117,2710.180,124646069.056
585769.889,5403208.688,2677.940,124646069.769
585892.170,5403087.050,2741.320,124646071.342
585943.102,5403039.262,2829.410,124646072.022
585983.742,5403100.160,2823.320,124646073.079
585885.591,5403611.169,2561.280,124646075.681
586021.078,5403475.589,2730.610,124646076.981
586070.079,5403416.270,2829.210,124646077.387
586103.568,5403465.918,2773.670,124646078.162
586163.959,5403457.022,2874.650,124646079.487
586137.127,5403755.327,2608.650,124646081.219
586276.988,5403483.122,2937.680,124646081.862
586288.649,5403581.369,2864.650,124646082.812
586346.041,5403643.990,2827.790,124646084.321
586426.342,5403737.009,2878.130,124646087.043
586542.368,5403867.198,2898.500,124646090.334
586923.921,5404142.032,2729.490,124646098.005
586913.247,5404303.559,2581.620,124646098.961
586859.363,5404593.488,2431.210,124646100.395
587012.332,5404573.959,2627.880,124646102.765
587031.803,5404670.139,2577.630,124646103.691
587310.889,5404405.410,2723.530,124646106.455
587288.912,5404791.071,2499.060,124646108.833
587434.373,5404517.419,2636.470,124646109.002
587257.102,5404894.312,2479.570,124646109.511
587299.308,5405056.852,2319.610,124646111.343
587565.793,5404660.061,2492.560,124646112.338
587557.318,5405189.582,2277.090,124646116.850
587834.788,5404769.828,2469.280,124646117.876
587691.442,5405063.843,2336.120,124646117.961
587820.547,5405063.980,2321.560,124646120.029
587682.999,5405453.303,2137.820,124646120.969
587692.477,5404934.719,2345.110,124646253.367
587289.053,5405181.611,2289.980,124646254.889
587431.231,5405057.801,2300.420,124646255.359
587563.742,5404931.827,2333.150,124646256.150
587558.041,5404745.011,2441.530,124646259.829
587441.277,5404771.072,2441.430,124646260.972
587433.917,5404658.459,2510.980,124646263.017
586967.393,5404403.803,2665.310,124646273.409
586612.652,5404592.261,2432.460,124646274.528
586789.061,5404131.660,2696.670,124646280.647
586507.652,5404177.349,2628.060,124646283.542
586663.483,5404014.149,2748.810,124646284.517
586401.951,5404129.853,2710.980,124646285.980
586556.927,5404009.821,2777.990,124646286.082
586548.942,5403967.907,2827.840,124646286.961
586233.163,5404131.158,2621.760,124646287.896
586404.528,5404007.472,2762.330,124646288.024
586213.672,5404050.648,2630.120,124646289.418
586428.200,5403847.052,2847.330,124646290.538
586124.213,5404005.519,2580.420,124646291.193
586272.730,5403870.990,2737.880,124646291.846
586182.918,5403883.730,2647.620,124646292.548
586154.911,5403890.261,2583.250,124646292.617
586279.401,5403741.480,2727.460,124646293.790
586333.058,5403678.132,2827.950,124646294.357
586012.588,5403869.381,2543.960,124646294.703
586302.208,5403629.637,2799.540,124646295.443
586144.122,5403632.407,2745.270,124646297.514
585887.338,5403735.560,2524.220,124646298.549
585664.583,5403493.833,2641.400,124646305.381
585885.641,5403342.129,2756.180,124646305.414
585637.411,5403478.892,2536.250,124646305.711
585778.402,5403367.351,2682.380,124646306.198
585906.470,5403216.417,2721.530,124646307.205
585498.439,5403467.381,2520.890,124646307.634
585688.698,5403291.167,2630.230,124646308.569
585658.140,5403206.252,2633.880,124646310.382
585598.673,5403107.151,2628.900,124646312.867
585371.730,5403209.701,2542.410,124646313.862
585495.180,5403089.212,2611.410,124646314.548
